|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
8|2008|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - Total (6 to 8)|9|4854426|67317|29762103|7856529|3977594|7704892|885412|2782840|3531049|5137163|1673731|832121|6044338|20001242|75109515
9|2008|I760G|AMERICAN HOME ASSURANCE CO|Net premiums written|10|4167764|16829|15721306|179898927|27803006|55091880|21451772|13973542|789409|-1|5458016|8405|12976017|33205388|337356872
10|2008|I760G|AMERICAN HOME ASSURANCE CO|Premium liabilities at beginning of period|11|918500|2614|4830248|77094606|10174532|9484919|1977313|2670502|273437|0|1359506|2647|11328590|15634682|120117414
11|2008|I760G|AMERICAN HOME ASSURANCE CO|Premium liabilities at end of period|12|1580433|3891|8561372|79721404|9348791|11597340|10050839|5381546|1181103|0|2728603|5478|15443858|24740588|145604658
12|2008|I760G|AMERICAN HOME ASSURANCE CO|Premiums earned during the period|13|3505831|15552|11990182|177272129|28628747|52979459|13378246|11262498|-118257|-1|4088919|5574|8860749|24099482|311869628
13|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Direct business|14|4377160|0|10028714|128356677|18636340|12598925|13661923|2000550|-24047|531698|2287931|-3676858|3669480|4788754|192448493
14|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted in Singapore|15|231537|0|13546468|0|757509|442367|0|0|0|101224|0|0|3517723|3618947|18596828
15|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
16|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted from other countries|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
17|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Total (15 to 17)|18|231537|0|13546468|0|757509|442367|0|0|0|101224|0|0|3517723|3618947|18596828
18|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded in Singapore|19|1350|0|4641525|125085|201339|4028|16518|24681|-1036|78255|0|0|49964|151864|5141709
19|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|0|0|0|0|0|0|0|0|0|4357|0|0|0|4357|4357
20|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded to other countries|21|2333993|0|15257439|94695|59705|624136|1308548|42046|-42864|550310|0|-3605362|3848797|792927|20471443
21|2008|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Total (19 to 21)|22|2335343|0|19898964|219780|261044|628164|1325066|66727|-43900|632922|0|-3605362|3898761|949148|25617509
22|2008|I760G|AMERICAN HOME ASSURANCE CO|Net claims settled|23|2273354|0|3676218|128136897|19132805|12413128|12336857|1933823|19853|0|2287931|-71496|3288442|7458553|185427812
23|2008|I760G|AMERICAN HOME ASSURANCE CO|Claims liabilities at end of period|24|3313900|2809|1777212|95494245|39557464|13648334|6721685|7087038|556781|141766|7348415|16059|7407050|22557109|183072758
24|2008|I760G|AMERICAN HOME ASSURANCE CO|Claims liabilities at beginning of period|25|2281180|4767|2949185|90016096|46090625|13515559|1589396|5734983|405902|120016|9444697|13167|5736246|21455011|177901819
25|2008|I760G|AMERICAN HOME ASSURANCE CO|Net claims incurred|26|3306074|-1958|2504245|133615046|12599644|12545903|17469146|3285878|170732|21750|191649|-68604|4959246|8560651|190598751
26|2008|I760G|AMERICAN HOME ASSURANCE CO|Management Expenses|27|1065567|9554|5648749|26267298|3608371|12532742|2536165|1903303|490545|583274|809739|95433|2159574|6041868|57710314
27|2008|I760G|AMERICAN HOME ASSURANCE CO|Commissions|28|1393139|8415|3717222|29008552|3802024|15505490|4085136|2347629|525078|672466|1099273|174010|1786211|6604667|64124645
28|2008|I760G|AMERICAN HOME ASSURANCE CO|Reinsurance commissions|29|1189345|14648|5194044|18086|555490|2790817|224544|363172|271610|657163|230009|187581|1409497|3119032|13106006
29|2008|I760G|AMERICAN HOME ASSURANCE CO|Net commissions incurred|30|203794|-6233|-1476822|28990466|3246534|12714673|3860592|1984457|253468|15303|869264|-13571|376714|3485635|51018639
30|2008|I760G|AMERICAN HOME ASSURANCE CO|Other distribution expenses|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
31|2008|I760G|AMERICAN HOME ASSURANCE CO|Underwriting gain / (loss)|32|-1069604|14189|5314010|-11600681|9174198|15186141|-10487657|4088860|-1033002|-620328|2218267|-7684|1365215|6011328|12541924
32|2008|I760G|AMERICAN HOME ASSURANCE CO|F. NET INVESTMENT INCOME|33|-152497|-616|-575239|-6582458|-1017305|-2015798|-784915|-511289|-28884|0|-199707|-309|-474789|-1214978|-12343806
33|2008|I760G|AMERICAN HOME ASSURANCE CO|G. OPERATING RESULT|34|-1222101|13573|4738771|-18183139|8156893|13170343|-11272572|3577571|-1061886|-620328|2018560|-7993|890426|4796350|198118
34|2008|I760G|AMERICAN HOME ASSURANCE CO|Net Loss Ratio|35|0.5454613073101068|0.0|0.2338366799806581|0.7122716023759275|0.6881559857232703|0.2253168343501801|0.5750973392780793|0.1383917549322856|0.02514919389061944|-0.0|0.41918730175946717|-8.506365258774538|0.253424606333361|0.22461875765463124|0.549648835966205
35|2008|I760G|AMERICAN HOME ASSURANCE CO|Movement in Net Claims Liabilities|36|1032720|-1958|-1171973|5478149|-6533161|132775|5132289|1352055|150879|21750|-2096282|2892|1670804|1102098|5170939
|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2009|I760G|AMERICAN HOME ASSURANCE CO|GWP - Direct business|1|4059382|102672|42556460|222656778|34375339|56063879|24569210|13955953|9520595|1017713|6856633|1320889|14392248|47064031|431447751
1|2009|I760G|AMERICAN HOME ASSURANCE CO|GWP - RI accepted in Singapore|2|70860|0|1514663|0|-42869|1943890|0|40108|251946|1545186|155328|0|3795963|5788531|9275075
2|2009|I760G|AMERICAN HOME ASSURANCE CO|GWP - RI accepted from other ASEAN countries|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3|2009|I760G|AMERICAN HOME ASSURANCE CO|GWP - RI accepted from other countries|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|2009|I760G|AMERICAN HOME ASSURANCE CO|GWP - Total (2 to 4)|5|70860|0|1514663|0|-42869|1943890|0|40108|251946|1545186|155328|0|3795963|5788531|9275075
5|2009|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - In Singapore|6|55|0|2515255|1009|1232392|-2290|6012|83966|27347|70745|6500|0|92457|281015|4033448
6|2009|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - To other ASEAN countries|7|0|0|2860|0|0|0|0|0|0|0|0|0|0|0|2860
7|2009|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - To other countries|8|2429784|85868|23523486|10784279|2476216|2906023|537238|1145725|8684821|2492153|2237839|1304853|4849279|20714670|63457564
8|2009|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - Total (6 to 8)|9|2429839|85868|26041601|10785288|3708608|2903733|543250|1229691|8712168|2562898|2244339|1304853|4941736|20995685|67493872
9|2009|I760G|AMERICAN HOME ASSURANCE CO|Net premiums written|10|1700403|16804|18029522|211871490|30623862|55104036|24025960|12766370|1060373|1|4767622|16036|13246475|31856877|373228954
10|2009|I760G|AMERICAN HOME ASSURANCE CO|Premium liabilities at beginning of period|11|1580433|3891|8561372|79721404|9348791|11597340|10050839|5381546|1181103|0|2728603|5478|15443858|24740588|145604658
11|2009|I760G|AMERICAN HOME ASSURANCE CO|Premium liabilities at end of period|12|340672|4766|12051380|95278590|10203974|11917306|12625119|3482295|1011321|0|2097270|7261|17120040|23718187|166139994
12|2009|I760G|AMERICAN HOME ASSURANCE CO|Premiums earned during the period|13|2940164|15929|14539514|196314304|29768679|54784070|21451680|14665621|1230155|1|5398955|14253|11570293|32879278|352693618
13|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Direct business|14|2547800|0|4773614|128192905|19430143|17439304|13564513|2304005|-74360|884438|1379593|-3677394|6915031|7731313|193679592
14|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted in Singapore|15|182716|0|1325944|0|297687|3665890|0|0|0|31453|12861|0|1579110|1623424|7095661
15|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
16|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted from other countries|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
17|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Total (15 to 17)|18|182716|0|1325944|0|297687|3665890|0|0|0|31453|12861|0|1579110|1623424|7095661
18|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded in Singapore|19|-600202|0|138645|52650|-43688|183185|-232774|19367|-4056|59243|-2480|0|44297|116371|-385813
19|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded to other countries|21|1884148|0|2770110|122798|226313|2825437|793521|52765|-174741|856648|27868|-3604724|2798810|-43374|8578953
21|2009|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Total (19 to 21)|22|1283946|0|2908755|175448|182625|3008622|560747|72132|-178797|915891|25388|-3604724|2843107|72997|8193140
22|2009|I760G|AMERICAN HOME ASSURANCE CO|Net claims settled|23|1446570|0|3190803|128017457|19545205|18096572|13003766|2231873|104437|0|1367066|-72670|5651034|9281740|192582113
23|2009|I760G|AMERICAN HOME ASSURANCE CO|Claims liabilities at end of period|24|1882727|3252|2657015|102630071|35343754|11976906|7519766|7046956|657175|39744|4955429|19695|9028574|21747573|183761064
24|2009|I760G|AMERICAN HOME ASSURANCE CO|Claims liabilities at beginning of period|25|3313900|2809|1777212|95494245|39557464|13648334|6721685|7087038|556781|141766|7348415|16059|7407050|22557109|183072758
25|2009|I760G|AMERICAN HOME ASSURANCE CO|Net claims incurred|26|15397|443|4070606|135153283|15331495|16425144|13801847|2191791|204831|-102022|-1025920|-69034|7272558|8472204|193270419
26|2009|I760G|AMERICAN HOME ASSURANCE CO|Management Expenses|27|633964|15575|7244234|38619538|5208287|15098182|3727186|2123223|1482509|388796|1063725|200381|2759413|8018047|78565013
27|2009|I760G|AMERICAN HOME ASSURANCE CO|Commissions|28|401510|13107|3663876|34156062|4366626|13938223|4410585|2194834|1264223|147102|1079529|217107|2041053|6943848|67893837
28|2009|I760G|AMERICAN HOME ASSURANCE CO|Reinsurance commissions|29|538368|14791|4462417|12848|538391|609172|75867|248167|929824|1470698|306271|233739|1349424|4538123|10789977
29|2009|I760G|AMERICAN HOME ASSURANCE CO|Net commissions incurred|30|-136858|-1684|-798541|34143214|3828235|13329051|4334718|1946667|334399|-1323596|773258|-16632|691629|2405725|57103860
30|2009|I760G|AMERICAN HOME ASSURANCE CO|Other distribution expenses|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
31|2009|I760G|AMERICAN HOME ASSURANCE CO|Underwriting gain / (loss)|32|2427661|1595|4023215|-11601731|5400662|9931693|-412071|8403940|-791584|1036823|4587892|-100462|846693|13983302|23754326
32|2009|I760G|AMERICAN HOME ASSURANCE CO|F. NET INVESTMENT INCOME|33|166029|1641|1760419|20687329|2990142|5380409|2345917|1246520|103536|0|465515|1566|1293399|3110536|36442422
33|2009|I760G|AMERICAN HOME ASSURANCE CO|G. OPERATING RESULT|34|2593690|3236|5783634|9085598|8390804|15312102|1933846|9650460|-688048|1036823|5053407|-98896|2140092|17093838|60196748
34|2009|I760G|AMERICAN HOME ASSURANCE CO|Net Loss Ratio|35|0.850721858288888|0.0|0.17697657209104045|0.6042221962001589|0.638234491782911|0.3284073783633562|0.5412381440741598|0.17482440192474447|0.09849081408146002|0.0|0.2867395947078019|-4.531678722873535|0.4266066255362276|0.2913574987278257|0.5159892096688726
35|2009|I760G|AMERICAN HOME ASSURANCE CO|Movement in Net Claims Liabilities|36|-1431173|443|879803|7135826|-4213710|-1671428|798081|-40082|100394|-102022|-2392986|3636|1621524|-809536|688306
|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2010|I760G|AMERICAN HOME ASSURANCE CO|GWP - Direct business|1|4360745|307460|37934212|227733174|33419811|62297513|26858003|12905934|4695954|1482336|9166832|2492862|17108425|47852343|440763261
1|2010|I760G|AMERICAN HOME ASSURANCE CO|GWP - RI accepted in Singapore|2|0|849078|701743|0|0|35820|0|135264|216742|330218|225127|0|4903006|5810357|7396998
2|2010|I760G|AMERICAN HOME ASSURANCE CO|GWP - RI accepted from other ASEAN countries|3|0|215679|184287|0|0|0|0|0|0|0|0|0|219553|219553|619519
3|2010|I760G|AMERICAN HOME ASSURANCE CO|GWP - RI accepted from other countries|4|0|603907|0|0|0|0|0|-6691|0|97130|3638|0|0|94077|697984
4|2010|I760G|AMERICAN HOME ASSURANCE CO|GWP - Total (2 to 4)|5|0|1668664|886030|0|0|35820|0|128573|216742|427348|228765|0|5122559|6123987|8714501
5|2010|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - In Singapore|6|0|0|3992950|1713|1192725|689|135|24121|37951|345652|2700|0|14827|425251|5613463
6|2010|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - To other ASEAN countries|7|0|575483|0|0|0|0|0|0|0|0|0|0|0|0|575483
7|2010|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - To other countries|8|3179621|1376960|22362963|9586996|3809685|2927139|398286|2395384|3930607|1564675|3562451|2459698|7658983|21571798|65213448
8|2010|I760G|AMERICAN HOME ASSURANCE CO|RI ceded - Total (6 to 8)|9|3179621|1952443|26355913|9588709|5002410|2927828|398421|2419505|3968558|1910327|3565151|2459698|7673810|21997049|71402394
9|2010|I760G|AMERICAN HOME ASSURANCE CO|Net premiums written|10|1181124|23681|12464329|218144465|28417401|59405505|26459582|10615002|944138|-643|5830446|33164|14557174|31979281|378075368
10|2010|I760G|AMERICAN HOME ASSURANCE CO|Premium liabilities at beginning of period|11|340672|4766|12051380|95278590|10203974|11917306|12625119|3482295|1011321|0|2097270|7261|17120040|23718187|166139994
11|2010|I760G|AMERICAN HOME ASSURANCE CO|Premium liabilities at end of period|12|173182|13023|6434800|95528142|9794397|8894042|14717141|2985549|820523|0|1731620|12770|18836024|24386486|159941213
12|2010|I760G|AMERICAN HOME ASSURANCE CO|Premiums earned during the period|13|1348614|15424|18080909|217894913|28826978|62428769|24367560|11111748|1134936|-643|6196096|27655|12841190|31310982|384274149
13|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Direct business|14|2070255|0|3752381|131901061|18472238|16395301|18842132|2212016|-928631|741448|1302413|-3780594|6839625|6386277|197819645
14|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted in Singapore|15|23037|0|499168|0|8007|59565|86179|0|0|16986|44656|0|14338|75980|751936
15|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|2466090|0|0|0|0|0|0|0|0|0|0|0|2466090
16|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI accepted from other countries|17|134741|0|9747|0|0|0|0|0|0|14536|0|0|0|14536|159024
17|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Total (15 to 17)|18|157778|0|2975005|0|8007|59565|86179|0|0|31522|44656|0|14338|90516|3377050
18|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded in Singapore|19|229|0|3222787|21580|2920|664|2161|-59|-26506|298857|0|-1826384|13163|-1540929|1709412
19|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - RI recoveries from business ceded to other countries|21|1216348|0|1690312|108196|402757|97017|146237|339929|-761106|474113|502214|-1881392|2254784|928542|4589409
21|2010|I760G|AMERICAN HOME ASSURANCE CO|Gross claims settled - Total (19 to 21)|22|1216577|0|4913099|129776|405677|97681|148398|339870|-787612|772970|502214|-3707776|2267947|-612387|6298821
22|2010|I760G|AMERICAN HOME ASSURANCE CO|Net claims settled|23|1011456|0|1814287|131771285|18074568|16357185|18779913|1872146|-141019|0|844855|-72818|4586016|7089180|194897874
23|2010|I760G|AMERICAN HOME ASSURANCE CO|Claims liabilities at end of period|24|2579627|0|4770614|105358815|20019096|9108258|6091337|12505201|240292|30380|8433764|6562|10632068|31848267|179776014
24|2010|I760G|AMERICAN HOME ASSURANCE CO|Claims liabilities at beginning of period|25|1882727|3252|2657015|102630071|35343754|11976906|7519766|7046956|657175|39744|4955429|19695|9028574|21747573|183761064
25|2010|I760G|AMERICAN HOME ASSURANCE CO|Net claims incurred|26|1708356|-3252|3927886|134500029|2749910|13488537|17351484|7330391|-557902|-9364|4323190|-85951|6189510|17189874|190912824
26|2010|I760G|AMERICAN HOME ASSURANCE CO|Management Expenses|27|764442|343004|7127215|43337896|5800807|17339341|4661849|2262450|852716|331471|1630831|432696|3858805|9368969|88743523
27|2010|I760G|AMERICAN HOME ASSURANCE CO|Commissions|28|505685|261289|3260075|36974572|3871794|14768724|4757737|1918162|625482|273004|1486464|378658|2444114|7125884|71525760
28|2010|I760G|AMERICAN HOME ASSURANCE CO|Reinsurance commissions|29|878766|202020|5817595|7421|829454|185385|33320|321649|1176988|737274|372547|528546|1947380|5084384|13038345
29|2010|I760G|AMERICAN HOME ASSURANCE CO|Net commissions incurred|30|-373081|59269|-2557520|36967151|3042340|14583339|4724417|1596513|-551506|-464270|1113917|-149888|496734|2041500|58487415
30|2010|I760G|AMERICAN HOME ASSURANCE CO|Other distribution expenses|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
31|2010|I760G|AMERICAN HOME ASSURANCE CO|Underwriting gain / (loss)|32|-751103|-383597|9583328|3089837|17233921|17017552|-2370190|-77606|1391628|141520|-871842|-169202|2296141|2710639|46130387
32|2010|I760G|AMERICAN HOME ASSURANCE CO|F. NET INVESTMENT INCOME|33|66572|1335|702525|12295236|1601685|3348261|1491336|598291|53214|-36|328620|1869|820484|1802442|21309392
33|2010|I760G|AMERICAN HOME ASSURANCE CO|G. OPERATING RESULT|34|-684531|-382262|10285853|15385073|18835606|20365813|-878854|520685|1444842|141484|-543222|-167333|3116625|4513081|67439779
34|2010|I760G|AMERICAN HOME ASSURANCE CO|Net Loss Ratio|35|0.8563503916608248|0.0|0.1455583369148873|0.6040551384148115|0.6360387426000006|0.27534796648896426|0.7097584912717064|0.17636793662403455|-0.14936269909695404|-0.0|0.1449040090586552|-2.1956941261608973|0.3150347725458252|0.22168040613546003|0.515500057649881
35|2010|I760G|AMERICAN HOME ASSURANCE CO|Movement in Net Claims Liabilities|36|696900|-3252|2113599|2728744|-15324658|-2868648|-1428429|5458245|-416883|-9364|3478335|-13133|1603494|10100694|-3985050
|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|GWP - Direct business|1|5554718|286642|39222728|214976097|34916632|67260521|31941773|13704420|5832552|1199220|9334347|4759852|18486486|53316877|447475988
1|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|GWP - RI accepted in Singapore|2|8310|51105|579098|0|0|2025|0|84399|127449|1307964|127449|0|4193691|5840952|6481490
2|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|GWP - RI accepted from other ASEAN countries|3|1247264|-9533|55972|0|0|0|0|0|0|0|0|0|109403|109403|1403106
3|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|GWP - RI accepted from other countries|4|8378|16997|0|0|0|0|0|2064|0|234102|0|0|0|236166|261541
4|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|GWP - Total (2 to 4)|5|1263952|58569|635070|0|0|2025|0|86463|127449|1542066|127449|0|4303094|6186521|8146137
5|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|RI ceded - In Singapore|6|0|0|2050596|0|1185297|0|0|73219|24206|168134|16000|0|123000|404559|3640452
6|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|RI ceded - To other ASEAN countries|7|567365|-38860|0|0|0|0|0|0|0|0|0|0|0|0|528505
7|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|RI ceded - To other countries|8|4571579|350950|26598312|9043883|4115866|3794421|0|2314018|4338750|2573152|4545065|4683542|7495915|25950442|74425453
8|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|RI ceded - Total (6 to 8)|9|5138944|312090|28648908|9043883|5301163|3794421|0|2387237|4362956|2741286|4561065|4683542|7618915|26355001|78594410
9|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Net premiums written|10|1679726|33121|11208890|205932214|29615469|63468125|31941773|11403646|1597045|0|4900731|76310|15170665|33148397|377027715
10|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Premium liabilities at beginning of period|11|173182|13023|6434800|95528142|9794397|8894042|14717141|2985549|820523|0|1731620|12770|18836024|24386486|159941213
11|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Premium liabilities at end of period|12|325472|8422|7555355|92845329|9912013|9608938|15532952|2929279|1493733|0|1373929|26328|17929351|23752620|159541101
12|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Premiums earned during the period|13|1527436|37722|10088335|208615027|29497853|62753229|31125962|11459916|923835|0|5258422|62752|16077338|33782263|377427827
13|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - Direct business|14|8184141|0|6157587|116636876|16662671|15545955|19375044|3029049|-326559|160603|1163496|-2759|7018439|11042269|193604543
14|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - RI accepted in Singapore|15|410|0|-11847|0|60921|-281623|281623|220|0|20049|25056|0|1711950|1757275|1806759
15|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
16|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - RI accepted from other countries|17|0|0|9122|0|0|0|0|0|0|1533|0|0|0|1533|10655
17|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - Total (15 to 17)|18|410|0|-2725|0|60921|-281623|281623|220|0|21582|25056|0|1711950|1758808|1817414
18|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - RI recoveries from business ceded in Singapore|19|-351|0|417587|1570|0|-17|0|0|0|12720|0|2215|1221022|1235957|1654746
19|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - RI recoveries from business ceded to other countries|21|6119725|0|3178485|418962|1080846|180543|0|161596|-378322|169465|30161|-4738|2918012|2896174|13874735
21|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Gross claims settled - Total (19 to 21)|22|6119374|0|3596072|420532|1080846|180526|0|161596|-378322|182185|30161|-2523|4139034|4132131|15529481
22|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Net claims settled|23|2065177|0|2558790|116216344|15642746|15083806|19656667|2867673|51763|0|1158391|-236|4591355|8668946|179892476
23|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Claims liabilities at end of period|24|556781|0|1002676|123454221|18917410|8773741|7922025|9872014|212282|45519|8771599|7170|9398212|28306796|188933650
24|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Claims liabilities at beginning of period|25|2579627|0|4770614|105358815|20019096|9108258|6091337|12505201|240292|30380|8433764|6562|10632068|31848267|179776014
25|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Net claims incurred|26|42331|0|-1209148|134311750|14541060|14749289|21487355|234486|23753|15139|1496226|372|3357499|5127475|189050112
26|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Management Expenses|27|1318465|66331|7691188|45294810|6709146|19997890|6137535|2649885|1145200|526731|1818061|914594|4378963|11433434|98648799
27|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Commissions|28|1161701|45037|3246080|33373586|4425559|16085531|5644935|2176518|540302|206593|1227756|684537|2693678|7529384|71511813
28|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Reinsurance commissions|29|728113|234206|5618204|9083|1308234|301055|-2173|577967|1213209|1053847|369552|741369|1913232|5869176|14065898
29|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Net commissions incurred|30|433588|-189169|-2372124|33364503|3117325|15784476|5647108|1598551|-672907|-847254|858204|-56832|780446|1660208|57445915
30|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Other distribution expenses|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
31|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Underwriting gain / (loss)|32|-266948|160560|5978419|-4356036|5130322|12221574|-2146036|6976994|427789|305384|1085931|-795382|7560430|15561146|32283001
32|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|F. NET INVESTMENT INCOME|33|69717|1375|465226|8547230|1229192|2634249|1325745|473309|66285|0|203405|3167|629659|1375825|15648559
33|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|G. OPERATING RESULT|34|-197231|161935|6443645|4191194|6359514|14855823|-820291|7450303|494074|305384|1289336|-792215|8190089|16936971|47931560
34|2011|I870G|CHARTIS SINGAPORE INSURANCE PTE. LTD.|Net Loss Ratio|35|1.2294725449269703|0.0|0.2282821938657619|0.5643427113350998|0.5281951131687295|0.23765954957705146|0.6153906046480263|0.25146983692759317|0.03241173542386094|0|0.23637106382700868|-0.0030926484078102477|0.30264691758733053|0.26151931268350626|0.4771332950947651
